imageName,URLLink,coordinates,imgDate,imageDisc
img_20170216_142116.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_142116.jpg,"-85.85281577588125,37.6761238189478,0",2017/2/16,
img_20170216_142104.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_142104.jpg,"-85.85276643696226,37.6761107040444,0",2017/2/16,
img_20170216_142145.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_142145.jpg,"-85.85276580143427,37.6761535021628,0",2017/2/16,
img_20170216_142044.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_142044.jpg,"-85.85266243175552,37.6761529308818,0",2017/2/16,
img_20170216_142053.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_142053.jpg,"-85.85263921528744,37.6761047271545,0",2017/2/16,
img_20170216_142000.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_142000.jpg,"-85.85252533123884,37.6762286655166,0",2017/2/16,
img_20170216_134423.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_134423.jpg,"-85.85075361120602,37.674542158324,0",2017/2/16,
img_20170216_131952.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_131952.jpg,"-85.85072021868247,37.670659442282,0",2017/2/16,
img_20170216_131949.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_131949.jpg,"-85.85071856186893,37.67065893072,0",2017/2/16,
img_20170216_134336.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_134336.jpg,"-85.85071666666666,37.674575,0",2017/2/16,
img_20170216_134314.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_134314.jpg,"-85.85067592698145,37.6745592247081,0",2017/2/16,
img_20170216_131912.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_131912.jpg,"-85.85064737149084,37.6705483919153,0",2017/2/16,
img_20170216_131935.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_131935.jpg,"-85.85063942524666,37.6705511742598,0",2017/2/16,
img_20170216_134231.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_134231.jpg,"-85.85056060478291,37.6745065097625,0",2017/2/16,
img_20170216_134151.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_134151.jpg,"-85.85044424344599,37.6744117549658,0",2017/2/16,
img_20170216_134206.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_134206.jpg,"-85.85044090243969,37.6744590598038,0",2017/2/16,
img_20170216_134214.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_134214.jpg,"-85.85041075493604,37.6744859632244,0",2017/2/16,
img_20170216_131802.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_131802.jpg,"-85.85039810556677,37.6709701147105,0",2017/2/16,
img_20170216_131813.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_131813.jpg,"-85.85033914788434,37.6709024653146,0",2017/2/16,
img_20170216_131745.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_131745.jpg,"-85.8502917069998,37.6710407914872,0",2017/2/16,
img_20170216_134757.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_134757.jpg,"-85.85025278592281,37.6746933631796,0",2017/2/16,
img_20170216_131714.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_131714.jpg,"-85.85020273803643,37.6711110910506,0",2017/2/16,
img_20170216_131659.jpg,http://kytcworkpictures.x10host.com/pictures/img_20170216_131659.jpg,"-85.85001604826303,37.6712506659092,0",2017/2/16,
